,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
201,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,"Đường Lương Khánh Thiện, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","4,05 tỷ",10/05/2021,30m²,,5,4,4,Đã có sổ,Đăng nhập để xem,
202,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 1,Phường Cầu Kho,"Đường Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","5,5 triệu/tháng",10/05/2021,30m²,,,1,1,,Đăng nhập để xem,
203,Nhà,Cần bán,Cần Thơ,Quận Ninh Kiều,Phường An Khánh,"KHU VƯC 2, Đường Nguyễn Văn Cừ, Phường An Khánh, Quận Ninh Kiều, Cần Thơ","5,5 tỷ",10/05/2021,79m²,,,3,2,,Đăng nhập để xem,
204,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 12,"Đường Thép Mới, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","11,9 tỷ",10/05/2021,70m²,,3,3,3,Đã có sổ,Đăng nhập để xem,
205,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Long Hòa,"Đường Võ Văn Kiệt, Phường Long Hòa, Quận Bình Thuỷ, Cần Thơ","3,2 tỷ",10/05/2021,103m²,,,,,Đã có sổ,Đăng nhập để xem,
206,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Cây Trâm, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","5,5 tỷ",10/05/2021,52m²,,,4,3,Đã có sổ,Đăng nhập để xem,
207,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,"Miếu gò xoai, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","3,68 tỷ",10/05/2021,43m²,,,2,2,Đã có sổ,Đăng nhập để xem,
208,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,"luỹ bán bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","3,9 tỷ",10/05/2021,35m²,,,2,,Đã có sổ,Đăng nhập để xem,
209,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Trường Thọ,"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","2,6 tỷ",10/05/2021,68m²,,,2,2,,Đăng nhập để xem,
210,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"370, 370 Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","6,5 triệu/tháng",10/05/2021,69m²,,,2,2,Đã có sổ,Đăng nhập để xem,
211,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,"Đường Thạnh Lộc 19, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","4,25 tỷ",10/05/2021,175m²,,,7,,,Đăng nhập để xem,
212,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","6,8 tỷ",10/05/2021,60m²,Tây,5,5,5,Đã có sổ,Đăng nhập để xem,
213,Nhà,Cần bán,Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","5,7 tỷ",10/05/2021,75m²,,,4,4,,Đăng nhập để xem,
214,Đất,Cần bán,Bình Dương,Huyện Phú Giáo,Xã An Linh,"262, Dh 507, Xã An Linh, Huyện Phú Giáo, Bình Dương","1,4 tỷ",10/05/2021,280m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
215,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Tân Phong,"kp 11, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai","1,79 tỷ",10/05/2021,166m²,Đông Bắc,,3,2,Đã có sổ,Đăng nhập để xem,
216,Nhà,Cần mua,Sóc Trăng,Thành phố Sóc Trăng,Phường 5,"Đường Lê Duẩn, Phường 5, Thành phố Sóc Trăng, Sóc Trăng","1,33 tỷ",10/05/2021,222m²,,,4,,,Đăng nhập để xem,
217,Đất,Cần bán,Quảng Ngãi,Huyện Đức Phổ,Xã Phổ Thạnh,"Đường Quốc lộ 1A, Xã Phổ Thạnh, Huyện Đức Phổ, Quảng Ngãi",950 triệu,10/05/2021,150m²,,,,,Đã có sổ,Đăng nhập để xem,
218,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 14,"Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","6,5 triệu/tháng",10/05/2021,70m²,Đông,,2,1,,Đăng nhập để xem,
219,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","3,1 tỷ",10/05/2021,53m²,,,,,Đã có sổ,Đăng nhập để xem,
220,Đất,Cần bán,Hồ Chí Minh,Quận 2,Phường Cát Lái,"264/5, Đường Lê Văn Thịnh, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh","5,6 tỷ",10/05/2021,97m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
221,"Căn hộ, Chung cư",Cho thuê,Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Đường Trần Đăng Ninh, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",10 triệu/tháng,10/05/2021,130m²,,,3,2,,Đăng nhập để xem,
222,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,"Nguyễn văn sang, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",6 triệu/tháng,10/05/2021,56m²,Nam,,2,2,Đã có sổ,Đăng nhập để xem,
223,Nhà,Cho thuê,Hồ Chí Minh,Quận 12,Phường Tân Hưng Thuận,"Đường DD7-1, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh",16 triệu/tháng,10/05/2021,100m²,Đông Bắc,,4,3,Đang chờ sổ,Đăng nhập để xem,
224,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,"Đường Tây Lân, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",900 triệu,10/05/2021,48m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
225,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","5,68 tỷ",10/05/2021,40m²,,,4,4,Đã có sổ,Đăng nhập để xem,
226,Nhà,Cho thuê,Đà Nẵng,Quận Cẩm Lệ,Phường Hòa An,"272/8, Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng","4,5 triệu/tháng",10/05/2021,80m²,,,2,1,Đã có sổ,Đăng nhập để xem,
227,Đất,Cần bán,An Giang,Thành phố Châu Đốc,Xã Vĩnh Tế,"Đường Tỉnh lộ 955A, Xã Vĩnh Tế, Thành phố Châu Đốc, An Giang",2 tỷ,10/05/2021,4.000m²,Đông Nam,,,,Đang chờ sổ,Đăng nhập để xem,
228,"Căn hộ, Chung cư",Cần bán,Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Đường Đa Tốn, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội","1,65 tỷ",10/05/2021,43m²,,,1,1,Đã có sổ,Đăng nhập để xem,
229,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,"1166, Đường Quốc lộ 1A, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","2,7 tỷ",10/05/2021,32m²,Đông Nam,3,3,3,Đã có sổ,Đăng nhập để xem,
230,Nhà,Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,"Đường Huỳnh Tấn Phát||4100, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",9 triệu/tháng,10/05/2021,32m²,,3,4,2,Đã có sổ,Đăng nhập để xem,
231,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Lý Tuệ, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","3,6 tỷ",10/05/2021,80m²,,,4,2,,Đăng nhập để xem,
232,Nhà,Cho thuê,Hồ Chí Minh,Quận 6,Phường 10,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,48m²,Đông,,1,1,,Đăng nhập để xem,
233,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,"Đường Liên Ấp 1-2-3, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","7,2 tỷ",10/05/2021,150m²,Tây,,4,4,Đã có sổ,Đăng nhập để xem,
234,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"Hùynh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,43 tỷ",10/05/2021,48m²,,,2,2,,Đăng nhập để xem,
235,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,48m²,Đông Nam,,3,2,Đã có sổ,Đăng nhập để xem,
236,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,"Đường Tân Chánh Hiệp 3, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","2,88 tỷ",10/05/2021,54m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
237,Đất,Cần bán,Đà Nẵng,Huyện Hòa Vang,Xã Hòa Khương,"Đường ô tô, Xã Hòa Khương, Huyện Hòa Vang, Đà Nẵng",4 tỷ,10/05/2021,2.000m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
238,Nhà,Cho thuê,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú B,"261/15, đình phong phú, Phường Tăng Nhơn Phú B, Quận 9, Tp Hồ Chí Minh",6 triệu/tháng,10/05/2021,40m²,Đông,,1,1,Đã có sổ,Đăng nhập để xem,
239,Đất,Cần bán,Khánh Hòa,Huyện Cam Lâm,Xã Cam Thành Bắc,"Cầu Bắc, Xã Cam Thành Bắc, Huyện Cam Lâm, Khánh Hòa",750 triệu,10/05/2021,170m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
240,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Đình Nghi Xuân, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","1,1 tỷ",10/05/2021,40m²,,,2,2,Đã có sổ,Đăng nhập để xem,
241,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","2,75 tỷ",10/05/2021,33m²,,2,2,1,Đã có sổ,Đăng nhập để xem,
242,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","7,8 tỷ",10/05/2021,78m²,Tây Bắc,4,4,4,Đã có sổ,Đăng nhập để xem,
243,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Vĩnh Hưng,"140/30, Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",730 triệu,10/05/2021,22m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
244,Đất,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,"Hiệp Thành, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương","2,7 tỷ",10/05/2021,84m²,,,,,Đã có sổ,Đăng nhập để xem,
245,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 13,"Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh","3,75 tỷ",10/05/2021,49m²,,1,4,3,Đã có sổ,Đăng nhập để xem,
246,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,8 tỷ",10/05/2021,50m²,Đông Nam,3,4,3,Đã có sổ,Đăng nhập để xem,
247,Nhà,Cần bán,Long An,Thành phố Tân An,Xã Bình Tâm,"22, Đường Đinh Viết Cừu, Xã Bình Tâm, Thành phố Tân An, Long An","1,8 tỷ",10/05/2021,125m²,Đông Bắc,1,2,2,Đã có sổ,Đăng nhập để xem,
248,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"412D/8/4, Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,58m²,,,4,4,Đã có sổ,Đăng nhập để xem,
249,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"Đường 21, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","3,3 tỷ",10/05/2021,31m²,,,2,2,Đã có sổ,Đăng nhập để xem,
250,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",14 triệu/tháng,10/05/2021,76m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
251,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Bình Thủy,"Đường Đặng Văn Dầy, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ, Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ","2,4 tỷ",10/05/2021,99m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
252,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Quy,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",5 triệu/tháng,10/05/2021,25m²,,,1,1,,Đăng nhập để xem,
253,Nhà,Cần bán,Bình Thuận,Thành phố Phan Thiết,Phường Phú Trinh,"Đường Lê Duẩn, Phường Phú Trinh, Thành phố Phan Thiết, Bình Thuận","2,1 tỷ",10/05/2021,70m²,Nam,,2,1,Đã có sổ,Đăng nhập để xem,
254,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,"đường 30/4, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",680 triệu,10/05/2021,100m²,,,,,,Đăng nhập để xem,
255,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Nhuận Đức,"Đường Nhuận Đức, Xã Nhuận Đức, Huyện Củ Chi, Tp Hồ Chí Minh",5 tỷ,10/05/2021,770m²,,,,,Đang chờ sổ,Đăng nhập để xem,
256,Nhà,Cần bán,Khánh Hòa,Thành phố Nha Trang,Phường Phước Hải,"Đường A3, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa","3,2 tỷ",10/05/2021,64m²,Tây Nam,3,4,3,Đã có sổ,Đăng nhập để xem,
257,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Hắc Dịch,"Trần Phú, Phường Hắc Dịch, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","1,23 tỷ",10/05/2021,145m²,,,,,Đã có sổ,Đăng nhập để xem,
258,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,"Đường ĐT 749, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",620 triệu,10/05/2021,75m²,,,,,Đã có sổ,Đăng nhập để xem,
259,Nhà,Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Quy,"Đường 49, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",17 triệu/tháng,10/05/2021,80m²,,,3,4,,Đăng nhập để xem,
260,Nhà,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,"cách mạng tháng 8, Phường 10, Quận 3, Tp Hồ Chí Minh",6 tỷ,10/05/2021,81m²,,,2,2,,Đăng nhập để xem,
261,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","4,45 tỷ",10/05/2021,60m²,Tây,,5,5,Đã có sổ,Đăng nhập để xem,
262,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","13,4 tỷ",10/05/2021,115m²,,,7,5,Đã có sổ,Đăng nhập để xem,
263,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,52m²,,2,4,3,Đã có sổ,Đăng nhập để xem,
264,Đất,Cần bán,Tiền Giang,Thành phố Mỹ Tho,Xã Đạo Thạnh,"quảng trường, Xã Đạo Thạnh, Thành phố Mỹ Tho, Tiền Giang",650 triệu,10/05/2021,80m²,,,,,Đang chờ sổ,Đăng nhập để xem,
265,Đất,Cần bán,Lâm Đồng,Huyện Di Linh,Xã Gung Ré,"xã Gung Ré Di Linh Lâm Đồng, Xã Gung Ré, Huyện Di Linh, Lâm Đồng","2,1 tỷ",10/05/2021,6.051m²,,,,,Đã có sổ,Đăng nhập để xem,
266,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Gò Dầu, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",12 tỷ,10/05/2021,72m²,,,4,,,Đăng nhập để xem,
267,Nhà,Cần bán,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Ngọc,"Đường Liên Hoa, Xã Vĩnh Ngọc, Thành phố Nha Trang, Khánh Hòa","4,9 tỷ",10/05/2021,342m²,Tây Bắc,2,5,3,Đã có sổ,Đăng nhập để xem,
268,Nhà,Cho thuê,Đà Nẵng,Quận Thanh Khê,Phường Thanh Khê Tây,"Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",4 triệu/tháng,10/05/2021,70m²,,,2,1,,Đăng nhập để xem,
269,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","14,1 tỷ",10/05/2021,100m²,,,,,,Đăng nhập để xem,
270,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","3,25 tỷ",10/05/2021,27m²,,,2,2,Đã có sổ,Đăng nhập để xem,
271,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"Đường Số 27, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","2,3 tỷ",10/05/2021,70m²,,,,,Đã có sổ,Đăng nhập để xem,
272,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Hòa,"26 Đường Đại Lộ Bình Dương, Khu phố 7, Phường Phú Hòa, Thủ Dầu Một, Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","1,35 tỷ",10/05/2021,44m²,Đông Bắc,,1,1,Đang chờ sổ,Đăng nhập để xem,
273,Đất,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,"Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,65 tỷ",10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
274,"Căn hộ, Chung cư",Cho thuê,Quảng Ninh,Thành phố Hạ Long,Phường Hùng Thắng,"A0315, Hoàng Quốc Việt, Phường Hùng Thắng, Thành phố Hạ Long, Quảng Ninh","5,5 triệu/tháng",10/05/2021,49m²,Đông Bắc,,1,1,Đang chờ sổ,Đăng nhập để xem,
275,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Lập,"Đường ĐT 741, Xã Tân Lập, Huyện Đồng Phú, Bình Phước",700 triệu,10/05/2021,125m²,,,,,Đã có sổ,Đăng nhập để xem,
276,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Lợi Đông,"10, 10 Đường Mai Chí Thọ, Phường An Lợi Đông, Quận 2, Tp Hồ Chí Minh","6,2 tỷ",10/05/2021,88m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
277,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,"Đường Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","8,5 tỷ",10/05/2021,80m²,,,6,,Đã có sổ,Đăng nhập để xem,
278,Nhà,Cần bán,Hà Nội,Quận Long Biên,Phường Thạch Bàn,"531, Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội","2,25 tỷ",10/05/2021,33m²,Nam,4,2,3,Đã có sổ,Đăng nhập để xem,
279,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phú,"Lô S10-2, Lô S10-2 Khu A - Đô thị Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",4 tỷ,10/05/2021,78m²,Tây,,2,2,Đã có sổ,Đăng nhập để xem,
280,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","2,9 tỷ",10/05/2021,56m²,,,4,3,,Đăng nhập để xem,
281,Đất,Cần bán,Quảng Nam,Thị xã Điện Bàn,Phường Điện Dương,"Khu đô thị Điện Ngọc - Điện Dương, Phường Điện Dương, Thị xã Điện Bàn, Quảng Nam",900 triệu,10/05/2021,105m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
282,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,"Đường Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh",873 triệu,10/05/2021,238m²,,,10,5,Đã có sổ,Đăng nhập để xem,
283,Đất,Cần bán,Cà Mau,Huyện Đầm Dơi,Xã Tân Thuận,"ngã tư ông rum , ấp thuận hoà b, Xã Tân Thuận, Huyện Đầm Dơi, Cà Mau",2 tỷ,10/05/2021,30m²,,,,,Đã có sổ,Đăng nhập để xem,
284,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","2,16 tỷ",10/05/2021,58m²,,,2,,,Đăng nhập để xem,
285,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 14,"Đường số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh","16,5 triệu/tháng",10/05/2021,72m²,,,5,5,,Đăng nhập để xem,
286,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,"Đường Mã Lò, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","7,1 tỷ",10/05/2021,104m²,,,4,5,Đã có sổ,Đăng nhập để xem,
287,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 2,Phường Cát Lái,"Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh",3 triệu/tháng,10/05/2021,78m²,Đông Nam,,3,2,Giấy tờ khác,Đăng nhập để xem,
288,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,"Đường Số 28, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",22 triệu/tháng,10/05/2021,90m²,Tây,4,5,4,Đã có sổ,Đăng nhập để xem,
289,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Ngũ Hành Sơn,Phường Mỹ An,"40, Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","4,5 triệu/tháng",10/05/2021,50m²,,,2,1,,Đăng nhập để xem,
290,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",14 triệu/tháng,10/05/2021,54m²,Tây,2,6,3,,Đăng nhập để xem,
291,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"Đường Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",7 triệu/tháng,10/05/2021,60m²,Tây Nam,1,2,2,Đã có sổ,Đăng nhập để xem,
292,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 15,"Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","5,2 triệu/tháng",10/05/2021,35m²,,,1,1,Giấy tờ khác,Đăng nhập để xem,
293,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Hoá An,"hoành minh chánh, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai","1,79 tỷ",10/05/2021,215m²,Nam,,4,4,Đã có sổ,Đăng nhập để xem,
294,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Trảng Dài,"chưa có, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai","2,2 tỷ",10/05/2021,115m²,Đông,,3,1,Đã có sổ,Đăng nhập để xem,
295,Nhà,Cần bán,Hồ Chí Minh,Quận 10,Phường 12,"Đường Thành Thái, Phường 12, Quận 10, Tp Hồ Chí Minh","14,7 tỷ",10/05/2021,68m²,,,5,4,Đã có sổ,Đăng nhập để xem,
296,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",19 tỷ,10/05/2021,250m²,,,5,6,Đã có sổ,Đăng nhập để xem,
297,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","6,9 tỷ",10/05/2021,44m²,,,4,4,Đã có sổ,Đăng nhập để xem,
298,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã An Phước,"Đường Quốc Lộ 51, Xã An Phước, Huyện Long Thành, Đồng Nai",800 triệu,10/05/2021,132m²,,,,,,Đăng nhập để xem,
299,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,"Đường Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","1,8 tỷ",10/05/2021,398m²,,,,,Đã có sổ,Đăng nhập để xem,
